Run	SRA_Study
ERR574628	ERP006610
ERR574607	ERP006610
ERR574614	ERP006610
ERR574618	ERP006610
SRR2153491	SRP062226
SRR2153489	SRP062226
SRR2153490	SRP062226
SRR2153488	SRP062226
SRR2243287	SRP063348
SRR2243291	SRP063348
SRR2243304	SRP063348
SRR2243331	SRP063348
SRR2243339	SRP063348
SRR2243359	SRP063348
SRR2243363	SRP063348
SRR2243412	SRP063348
SRR2243419	SRP063348
SRR2243436	SRP063348
SRR2243439	SRP063348
SRR2243442	SRP063348
SRR2243443	SRP063348
SRR2243448	SRP063348
SRR2243453	SRP063348
SRR2243420	SRP063348
SRR2243423	SRP063348
SRR2243432	SRP063348
SRR2504472	SRP064133
SRR2504470	SRP064133
SRR2504469	SRP064133
SRR2504468	SRP064133
SRR2504471	SRP064133
SRR2504467	SRP064133
SRR2504466	SRP064133
SRR2504465	SRP064133
SRR2513893	SRP064163
SRR2513892	SRP064163
SRR2513891	SRP064163
SRR2513890	SRP064163
SRR2513889	SRP064163
SRR2513888	SRP064163
SRR2513887	SRP064163
SRR2513886	SRP064163
SRR2513885	SRP064163
SRR2513884	SRP064163
SRR2513883	SRP064163
SRR2513882	SRP064163
SRR2513881	SRP064163
SRR2513880	SRP064163
SRR2513879	SRP064163
SRR2513878	SRP064163
SRR2513877	SRP064163
SRR2513876	SRP064163
SRR2513875	SRP064163
SRR2513874	SRP064163
SRR2513873	SRP064163
SRR2513872	SRP064163
SRR2513871	SRP064163
SRR2513870	SRP064163
SRR2513869	SRP064163
SRR2513868	SRP064163
SRR2513867	SRP064163
SRR2513866	SRP064163
SRR2513865	SRP064163
SRR2513864	SRP064163
SRR2513863	SRP064163
SRR2513862	SRP064163
SRR2730860	SRP065005
SRR2730863	SRP065005
SRR2730862	SRP065005
SRR2730861	SRP065005
SRR2730867	SRP065005
SRR2730866	SRP065005
SRR2730865	SRP065005
SRR2730864	SRP065005
SRR2730871	SRP065005
SRR2730870	SRP065005
SRR2730869	SRP065005
SRR2730868	SRP065005
ERR310012	ERP003535
ERR310020	ERP003535
ERR310061	ERP003535
ERR310086	ERP003535
ERR310111	ERP003535
ERR310138	ERP003535
ERR310192	ERP003535
ERR310196	ERP003535
ERR310199	ERP003535
ERR310010	ERP003535
ERR310026	ERP003535
ERR310046	ERP003535
ERR310047	ERP003535
ERR310050	ERP003535
ERR310085	ERP003535
ERR310087	ERP003535
ERR310109	ERP003535
ERR310148	ERP003535
ERR309992	ERP003535
ERR310053	ERP003535
ERR310081	ERP003535
ERR310107	ERP003535
ERR310108	ERP003535
ERR310130	ERP003535
ERR310165	ERP003535
ERR310175	ERP003535
ERR310177	ERP003535
ERR309991	ERP003535
ERR310027	ERP003535
ERR310037	ERP003535
ERR310096	ERP003535
ERR310101	ERP003535
ERR310119	ERP003535
ERR310147	ERP003535
ERR310154	ERP003535
ERR310156	ERP003535
ERR309995	ERP003535
ERR310023	ERP003535
ERR310032	ERP003535
ERR310044	ERP003535
ERR310073	ERP003535
ERR310075	ERP003535
ERR310104	ERP003535
ERR310121	ERP003535
ERR310186	ERP003535
