45 45C 45Creseq 46a 47 48 49 50 51 52 52reseq 52reseq2 53 53reseq 54 55 56 57
MSTRG.161.1|554|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 4 13 9 8 7 8 9 14 6 10 3 8 5 5 9 38 24
CTRG_05880|2193 353 467 1199 441 596 450 517 685 806 738 974 309 331 490 439 621 638 545
CTRG_05881|588 352 284 757 395 393 269 408 449 512 482 553 180 198 289 256 286 657 458
CTRG_05882|1086 652 943 2380 845 207 276 290 527 700 680 767 220 786 1183 1060 1342 1430 1118
CTRG_05883|1452 142 22 52 359 1193 1099 1317 4890 5104 5103 6217 1804 1345 2089 1713 2097 1788 1624
CTRG_05884|1305 313 22 48 545 1609 1573 1593 6394 6346 6120 7810 2369 1533 2269 2082 2391 2183 1933
CTRG_05885|576 55 260 589 127 78 107 72 93 135 97 122 31 23 53 45 39 114 92
MSTRG.169.1|1013|x|CTRG_05886-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 26 88 233 54 38 35 46 59 84 67 77 18 22 44 38 41 91 79
CTRG_05886|1116 364 429 1019 1014 396 318 574 3224 4859 4113 5300 1592 1284 1897 1312 1581 2644 2063
MSTRG.171.1|1039|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 1 4 3 1 1 5 98 77 74 86 34 12 29 18 24 34 27
CTRG_05887|1062 135 70 199 189 347 323 457 981 955 922 1254 369 259 391 310 387 358 333
CTRG_05888|858 1561 3284 8524 1485 623 832 733 134 393 277 332 100 184 294 322 325 777 556
CTRG_05889|1878 1090 3238 8496 3035 2105 1478 2017 4275 5715 4995 6338 1838 1865 2619 2806 3089 4534 3744
MSTRG.176.1|421|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 2 6 17 13 2 3 3 33 17 14 18 3 16 19 17 13 43 18
MSTRG.177.1|238|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 1 2 1 2 1 6 6 7 7 10 5 2 6 2 0 0 1
CTRG_05890|1602 399 641 1740 241 102 73 211 264 352 270 365 110 169 229 247 292 415 366
CTRG_05891|2091 1069 1886 5040 787 914 348 379 379 476 403 485 148 104 137 163 164 444 469
CTRG_05892|195 1145 1994 5037 1651 972 1582 2335 1951 2724 2129 2924 838 1178 1822 1300 1255 1403 994
CTRG_05893|549 158 1055 2745 1386 20 63 26 379 547 474 576 164 319 442 499 549 544 434
MSTRG.182.1|253|x|CTRG_05894-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 3 22 60 6 1 3 2 12 17 2 8 1 5 12 10 12 15 21
CTRG_05894|660 874 5049 13522 4659 593 739 941 2395 4715 3425 4094 1247 2520 3849 3535 4282 6242 4692
CTRG_05895|348 81 305 762 125 35 71 60 43 76 72 84 29 52 57 63 71 103 75
CTRG_05896|759 202 980 2630 726 299 520 357 199 289 254 264 75 169 222 185 256 283 248
CTRG_05897|852 123 298 671 172 125 158 133 58 120 115 150 39 89 119 124 143 183 152
